Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26040302540101RL","B","2026-04-12T18:27:42.150Z","IN PROGRESS","-","IN PROGRESS"
"26040302520101RL","B","2026-04-12T18:18:53.330Z","IN PROGRESS","OK","OK"
"26040203840101RL","A","2026-04-12T10:58:33.537Z","IN PROGRESS","-","IN PROGRESS"
"26040203880101RL","A","2026-04-12T10:58:27.677Z","IN PROGRESS","-","IN PROGRESS"
"26040203820101RL","A","2026-04-12T10:57:28.660Z","IN PROGRESS","-","IN PROGRESS"
"26040203900101RL","A","2026-04-12T10:56:14.780Z","IN PROGRESS","-","IN PROGRESS"
"26040203930101RL","A","2026-04-12T10:55:01.130Z","IN PROGRESS","-","IN PROGRESS"
"26040302500101RL","C","2026-04-12T02:12:02.630Z","IN PROGRESS","-","IN PROGRESS"
"26040302730101RL","C","2026-04-12T00:47:07.210Z","IN PROGRESS","-","IN PROGRESS"
"26040302710101RL","B","2026-04-11T21:02:25.360Z","NG","NOK","NG"
"26040502770101RL","B","2026-04-11T20:53:21.830Z","IN PROGRESS","-","IN PROGRESS"
"26040302720101RL","B","2026-04-11T20:44:09.980Z","NG","NOK","NG"
"26040302530101RL","B","2026-04-11T19:25:14.257Z","IN PROGRESS","-","IN PROGRESS"
"26041002650101RL","B","2026-04-11T18:47:20.483Z","IN PROGRESS","-","IN PROGRESS"
"26040902540101RL","B","2026-04-11T18:38:22.210Z","IN PROGRESS","-","IN PROGRESS"
"26040902580101RL","B","2026-04-11T18:12:21.083Z","IN PROGRESS","-","IN PROGRESS"
"26040902250101RL","B","2026-04-11T16:20:19.580Z","IN PROGRESS","-","IN PROGRESS"
"26041002720101RL","B","2026-04-11T15:49:08.030Z","NG","-","IN PROGRESS"
"26040902560101RL","B","2026-04-11T15:46:19.433Z","IN PROGRESS","-","IN PROGRESS"
"26041002760101RL","B","2026-04-11T15:41:17.400Z","IN PROGRESS","-","IN PROGRESS"
"26040902240101RL","B","2026-04-11T15:30:40.057Z","IN PROGRESS","-","IN PROGRESS"
"26041002680101RL","B","2026-04-11T15:18:06.530Z","IN PROGRESS","-","IN PROGRESS"
"26040902280101RL","B","2026-04-11T14:56:29.557Z","IN PROGRESS","-","IN PROGRESS"
"26041002670101RL","B","2026-04-11T14:39:08.260Z","IN PROGRESS","OK","OK"
"26041002630101RL","B","2026-04-11T14:27:54.907Z","IN PROGRESS","OK","OK"
"26040902260101RL","A","2026-04-11T13:10:28.210Z","IN PROGRESS","-","IN PROGRESS"
"26040902320101RL","A","2026-04-11T13:06:52.807Z","IN PROGRESS","-","IN PROGRESS"
"26041002520101RL","A","2026-04-11T12:58:20.707Z","IN PROGRESS","-","IN PROGRESS"
"26041002660101RL","A","2026-04-11T12:36:39.757Z","IN PROGRESS","-","IN PROGRESS"
