Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26041006330101RL","A","2026-04-18T11:05:11.320Z","IN PROGRESS","-","IN PROGRESS"
"26041703280101RL","A","2026-04-18T10:52:49.347Z","IN PROGRESS","-","IN PROGRESS"
"26041503350101RL","A","2026-04-18T10:24:25.730Z","IN PROGRESS","-","IN PROGRESS"
"26041206390101RL","A","2026-04-18T10:14:49.800Z","IN PROGRESS","-","IN PROGRESS"
"26041703260101RL","A","2026-04-18T09:24:48.823Z","IN PROGRESS","-","IN PROGRESS"
"26041703270101RL","A","2026-04-18T09:11:11.250Z","IN PROGRESS","-","IN PROGRESS"
"26041703330101RL","A","2026-04-18T09:03:11.627Z","IN PROGRESS","-","IN PROGRESS"
"26041703320101RL","A","2026-04-18T08:54:55.350Z","IN PROGRESS","-","IN PROGRESS"
"26041703310101RL","A","2026-04-18T08:47:22.800Z","IN PROGRESS","-","IN PROGRESS"
"26041703300101RL","A","2026-04-18T08:33:06.230Z","IN PROGRESS","-","IN PROGRESS"
"26041503370101RL","A","2026-04-18T07:57:33.223Z","IN PROGRESS","-","IN PROGRESS"
"26041503340101RL","A","2026-04-18T07:49:18.903Z","IN PROGRESS","OK","OK"
"26041503390101RL","A","2026-04-18T07:40:44.627Z","IN PROGRESS","-","IN PROGRESS"
"26041503360101RL","A","2026-04-18T07:08:01.427Z","IN PROGRESS","OK","OK"
"26041503300101RL","A","2026-04-18T06:53:55.427Z","IN PROGRESS","-","IN PROGRESS"
"26041503310101RL","A","2026-04-18T06:46:03.223Z","IN PROGRESS","OK","OK"
"26041803140101RL","A","2026-04-18T06:38:03.300Z","IN PROGRESS","-","IN PROGRESS"
"26041503380101RL","A","2026-04-18T06:30:12.980Z","IN PROGRESS","-","IN PROGRESS"
"26041703290101RL","C","2026-04-18T05:34:43.127Z","IN PROGRESS","OK","OK"
"26041503190101RL","C","2026-04-18T03:38:50.407Z","IN PROGRESS","OK","OK"
"26041503330101RL","C","2026-04-18T03:29:52.050Z","IN PROGRESS","OK","OK"
"26041503290101RL","C","2026-04-18T03:02:59.623Z","IN PROGRESS","OK","OK"
"26041503250101RL","C","2026-04-18T02:51:44.703Z","IN PROGRESS","OK","OK"
"26041503400101RL","C","2026-04-18T02:39:43.350Z","IN PROGRESS","OK","OK"
"26041503210101RL","C","2026-04-18T02:19:36.073Z","IN PROGRESS","OK","OK"
"26041503320101RL","C","2026-04-18T02:11:12.603Z","IN PROGRESS","-","IN PROGRESS"
"26041503240101RL","C","2026-04-18T02:01:46.800Z","IN PROGRESS","-","IN PROGRESS"
"26041503220101RL","C","2026-04-18T01:16:18.680Z","IN PROGRESS","OK","OK"
"26041802800101RL","C","2026-04-18T01:10:16.573Z","IN PROGRESS","-","IN PROGRESS"
"26041802730101RL","C","2026-04-18T01:10:07.950Z","IN PROGRESS","-","IN PROGRESS"
"26041503230101RL","C","2026-04-18T01:08:37.800Z","IN PROGRESS","-","IN PROGRESS"
"26041702230101RL","C","2026-04-18T01:00:36.677Z","IN PROGRESS","-","IN PROGRESS"
"26041503280101RL","C","2026-04-18T00:47:17.927Z","IN PROGRESS","OK","OK"
"26041503270101RL","C","2026-04-18T00:37:38.103Z","IN PROGRESS","-","IN PROGRESS"
"26041503200101RL","C","2026-04-18T00:30:15.450Z","IN PROGRESS","-","IN PROGRESS"
"26041329410101RR","C","2026-04-18T00:04:45.527Z","IN PROGRESS","OK","OK"
"26041329470101RR","C","2026-04-17T23:58:32.473Z","IN PROGRESS","OK","OK"
"26041329430101RR","C","2026-04-17T23:51:15.000Z","IN PROGRESS","-","IN PROGRESS"
"26041329490101RR","C","2026-04-17T23:45:47.850Z","IN PROGRESS","OK","OK"
"26041329380101RR","C","2026-04-17T23:41:00.603Z","IN PROGRESS","OK","OK"
"26041329390101RR","C","2026-04-17T23:33:40.727Z","IN PROGRESS","OK","OK"
"26041429550101RR","C","2026-04-17T23:26:16.277Z","IN PROGRESS","OK","OK"
"26041329580101RR","C","2026-04-17T23:26:02.477Z","IN PROGRESS","OK","OK"
"26041429530101RR","C","2026-04-17T23:18:36.527Z","IN PROGRESS","-","IN PROGRESS"
"26041329630101RR","C","2026-04-17T23:10:05.700Z","IN PROGRESS","OK","OK"
"26041329610101RR","C","2026-04-17T23:00:26.850Z","IN PROGRESS","OK","OK"
"26041329620101RR","C","2026-04-17T22:53:00.223Z","IN PROGRESS","OK","OK"
"26041429560101RR","B","2026-04-17T20:14:16.127Z","IN PROGRESS","-","IN PROGRESS"
"26041329660101RR","B","2026-04-17T20:00:29.780Z","IN PROGRESS","OK","OK"
"26041329650101RR","B","2026-04-17T19:46:49.500Z","IN PROGRESS","OK","OK"
"26041329590101RR","B","2026-04-17T19:29:04.727Z","IN PROGRESS","OK","OK"
"26041329730101RR","B","2026-04-17T19:23:53.850Z","IN PROGRESS","OK","OK"
"26041429540101RR","B","2026-04-17T19:18:42.450Z","IN PROGRESS","OK","OK"
"26041429570101RR","B","2026-04-17T19:13:46.803Z","IN PROGRESS","OK","OK"
"26041329640101RR","B","2026-04-17T19:07:32.477Z","IN PROGRESS","OK","OK"
"26041329720101RR","B","2026-04-17T18:36:59.030Z","IN PROGRESS","OK","OK"
"26041329820101RR","B","2026-04-17T18:24:00.900Z","IN PROGRESS","OK","OK"
"26041329760101RR","B","2026-04-17T18:07:20.323Z","IN PROGRESS","OK","OK"
"26041701890101RL","B","2026-04-17T17:29:59.400Z","IN PROGRESS","-","IN PROGRESS"
"26041329700101RR","B","2026-04-17T17:20:00.453Z","IN PROGRESS","-","IN PROGRESS"
"26041429780101RR","B","2026-04-17T16:29:32.103Z","IN PROGRESS","OK","OK"
"26041429790101RR","B","2026-04-17T15:52:04.353Z","IN PROGRESS","OK","OK"
"26041329740101RR","B","2026-04-17T15:05:26.253Z","IN PROGRESS","OK","OK"
"26041330300101RR","B","2026-04-17T14:48:59.700Z","IN PROGRESS","OK","OK"
"26041330420101RR","B","2026-04-17T14:20:12.527Z","IN PROGRESS","-","IN PROGRESS"
"26041701030101RL","A","2026-04-17T13:41:30.150Z","IN PROGRESS","-","IN PROGRESS"
"26041330350101RR","A","2026-04-17T13:06:07.577Z","IN PROGRESS","OK","OK"
"26041330400101RR","A","2026-04-17T12:50:33.527Z","IN PROGRESS","-","IN PROGRESS"
"26041330360101RR","A","2026-04-17T12:41:25.953Z","IN PROGRESS","OK","OK"
"26041330370101RR","A","2026-04-17T12:11:31.580Z","IN PROGRESS","-","IN PROGRESS"
"26041330310101RR","A","2026-04-17T11:54:23.103Z","IN PROGRESS","-","IN PROGRESS"
"26041330390101RR","A","2026-04-17T11:46:24.680Z","IN PROGRESS","OK","OK"
"26041330340101RR","A","2026-04-17T09:01:00.007Z","IN PROGRESS","-","IN PROGRESS"
"26041330290101RR","A","2026-04-17T08:45:20.630Z","IN PROGRESS","-","IN PROGRESS"
"26041430410101RR","A","2026-04-17T08:25:00.830Z","IN PROGRESS","-","IN PROGRESS"
"26041330440101RR","A","2026-04-17T07:50:32.553Z","IN PROGRESS","OK","OK"
"26041330320101RR","A","2026-04-17T07:43:08.330Z","IN PROGRESS","OK","OK"
"26041330380101RR","A","2026-04-17T07:24:24.080Z","IN PROGRESS","-","IN PROGRESS"
"26041330430101RR","A","2026-04-17T06:58:54.073Z","IN PROGRESS","-","IN PROGRESS"
"26041330330101RR","A","2026-04-17T06:47:53.180Z","IN PROGRESS","-","IN PROGRESS"
"26041503160101RL","A","2026-04-17T06:40:09.977Z","IN PROGRESS","-","IN PROGRESS"
"26041503060101RL","A","2026-04-17T06:26:33.607Z","IN PROGRESS","-","IN PROGRESS"
"26041503050101RL","C","2026-04-17T04:49:30.753Z","IN PROGRESS","OK","OK"
"26041503120101RL","C","2026-04-17T04:37:15.300Z","IN PROGRESS","OK","OK"
"26041503110101RL","C","2026-04-17T04:29:32.407Z","IN PROGRESS","OK","OK"
"26041503090101RL","C","2026-04-17T02:52:46.357Z","IN PROGRESS","OK","OK"
"26041503080101RL","C","2026-04-17T02:45:03.080Z","IN PROGRESS","OK","OK"
"26041603020101RL","C","2026-04-17T02:36:55.503Z","IN PROGRESS","-","IN PROGRESS"
"26041603010101RL","C","2026-04-17T02:15:22.280Z","IN PROGRESS","OK","OK"
"26041502900101RL","C","2026-04-17T01:30:42.380Z","IN PROGRESS","OK","OK"
"26041330050101RR","C","2026-04-17T01:28:12.233Z","NG","-","IN PROGRESS"
"26041602940101RL","C","2026-04-17T01:18:31.730Z","IN PROGRESS","OK","OK"
"26041330170101RR","C","2026-04-17T01:13:56.033Z","NG","-","IN PROGRESS"
"26041602910101RL","C","2026-04-17T01:11:16.730Z","IN PROGRESS","-","IN PROGRESS"
"26041430220101RR","C","2026-04-17T01:09:13.203Z","NG","-","IN PROGRESS"
"26041330060101RR","C","2026-04-17T01:03:49.280Z","NG","-","IN PROGRESS"
"26041502870101RL","C","2026-04-17T01:01:27.753Z","IN PROGRESS","OK","OK"
"26041430260101RR","C","2026-04-17T00:58:14.857Z","IN PROGRESS","-","IN PROGRESS"
"26041330080101RR","C","2026-04-17T00:53:32.180Z","IN PROGRESS","-","IN PROGRESS"
"26041602930101RL","C","2026-04-17T00:51:58.203Z","IN PROGRESS","OK","OK"
"26041430210101RR","C","2026-04-17T00:48:17.633Z","NG","-","IN PROGRESS"
"26041430230101RR","C","2026-04-17T00:43:13.953Z","NG","-","IN PROGRESS"
"26041330150101RR","C","2026-04-17T00:35:36.003Z","NG","-","IN PROGRESS"
"26041330140101RR","C","2026-04-17T00:28:07.577Z","NG","-","IN PROGRESS"
"26041329990101RR","C","2026-04-17T00:11:49.207Z","NG","-","IN PROGRESS"
"26041330180101RR","C","2026-04-16T23:56:49.430Z","NG","-","IN PROGRESS"
"26041330110101RR","C","2026-04-16T23:52:04.277Z","IN PROGRESS","-","IN PROGRESS"
"26041502890101RL","C","2026-04-16T23:40:15.303Z","IN PROGRESS","OK","OK"
"26041330100101RR","C","2026-04-16T23:32:24.753Z","NG","-","IN PROGRESS"
"26041502840101RL","C","2026-04-16T23:28:05.407Z","IN PROGRESS","OK","OK"
"26041330070101RR","C","2026-04-16T23:26:55.653Z","NG","-","IN PROGRESS"
"26041430250101RR","C","2026-04-16T23:21:01.200Z","NG","-","IN PROGRESS"
"26041502880101RL","C","2026-04-16T23:18:55.207Z","IN PROGRESS","OK","OK"
"26041430190101RR","C","2026-04-16T23:11:36.007Z","NG","-","IN PROGRESS"
"26041502860101RL","C","2026-04-16T23:10:29.477Z","IN PROGRESS","OK","OK"
"26041430240101RR","C","2026-04-16T23:04:48.003Z","NG","-","IN PROGRESS"
"26041329940101RR","C","2026-04-16T22:24:28.877Z","NG","-","IN PROGRESS"
"26041330020101RR","C","2026-04-16T22:18:51.230Z","NG","-","IN PROGRESS"
"26041329970101RR","B","2026-04-16T21:50:15.460Z","NG","-","IN PROGRESS"
"26041329980101RR","B","2026-04-16T21:45:24.753Z","NG","-","IN PROGRESS"
"26041329960101RR","B","2026-04-16T21:37:02.333Z","NG","-","IN PROGRESS"
"26041330000101RR","B","2026-04-16T21:21:12.610Z","IN PROGRESS","OK","OK"
"26041330120101RR","B","2026-04-16T20:58:46.210Z","NG","-","IN PROGRESS"
"26041330040101RR","B","2026-04-16T20:52:58.137Z","NG","-","IN PROGRESS"
"26041330090101RR","B","2026-04-16T19:26:48.757Z","IN PROGRESS","OK","OK"
"26041330130101RR","B","2026-04-16T19:08:00.460Z","NG","-","IN PROGRESS"
"26041330160101RR","B","2026-04-16T19:02:46.733Z","NG","-","IN PROGRESS"
"26041430200101RR","B","2026-04-16T18:55:14.260Z","IN PROGRESS","OK","OK"
"26041329950101RR","B","2026-04-16T18:43:20.787Z","IN PROGRESS","-","IN PROGRESS"
"26041329930101RR","B","2026-04-16T18:34:23.637Z","IN PROGRESS","-","IN PROGRESS"
"26041506370101RL","B","2026-04-16T16:50:04.283Z","IN PROGRESS","OK","OK"
"26041330010101RR","B","2026-04-16T16:44:25.730Z","IN PROGRESS","OK","OK"
"26041506380101RL","B","2026-04-16T15:27:09.457Z","IN PROGRESS","OK","OK"
"26041506350101RL","B","2026-04-16T15:19:51.157Z","IN PROGRESS","-","IN PROGRESS"
"26041506390101RL","B","2026-04-16T15:03:40.953Z","IN PROGRESS","OK","OK"
"26041606400101RL","B","2026-04-16T14:56:20.480Z","IN PROGRESS","OK","OK"
"26041329690101RR","A","2026-04-16T12:31:06.303Z","NG","-","IN PROGRESS"
"26041429800101RR","A","2026-04-16T12:30:26.553Z","IN PROGRESS","-","IN PROGRESS"
"26041329750101RR","A","2026-04-16T12:30:09.600Z","IN PROGRESS","-","IN PROGRESS"
"26041429810101RR","A","2026-04-16T12:29:45.607Z","IN PROGRESS","-","IN PROGRESS"
"26040405970101RL","A","2026-04-16T11:32:03.530Z","IN PROGRESS","OK","OK"
"26040406150101RL","A","2026-04-16T11:24:37.203Z","IN PROGRESS","OK","OK"
"26040106240101RL","A","2026-04-16T11:14:32.553Z","IN PROGRESS","OK","OK"
"26040406170101RL","A","2026-04-16T11:05:22.050Z","IN PROGRESS","OK","OK"
"26040406210101RL","A","2026-04-16T10:54:40.883Z","IN PROGRESS","OK","OK"
"26040406030101RL","A","2026-04-16T10:46:41.630Z","IN PROGRESS","OK","OK"
"26040605920101RL","A","2026-04-16T10:27:20.257Z","IN PROGRESS","OK","OK"
"26040406160101RL","A","2026-04-16T10:17:53.410Z","IN PROGRESS","OK","OK"
"26040406010101RL","A","2026-04-16T10:02:09.010Z","IN PROGRESS","OK","OK"
"26040605950101RL","A","2026-04-16T09:49:35.183Z","IN PROGRESS","OK","OK"
"26040406190101RL","A","2026-04-16T09:38:23.337Z","IN PROGRESS","OK","OK"
"26041329420101RR","A","2026-04-16T08:37:07.730Z","IN PROGRESS","OK","OK"
"26041329460101RR","A","2026-04-16T08:29:46.280Z","IN PROGRESS","-","IN PROGRESS"
"26041329600101RR","A","2026-04-16T08:02:17.330Z","IN PROGRESS","-","IN PROGRESS"
"26040406050101RL","A","2026-04-16T07:48:21.683Z","IN PROGRESS","OK","OK"
"26040605940101RL","A","2026-04-16T07:40:37.207Z","IN PROGRESS","OK","OK"
"26040605830101RL","A","2026-04-16T07:32:21.980Z","IN PROGRESS","OK","OK"
"26040105910101RL","A","2026-04-16T07:22:56.177Z","IN PROGRESS","OK","OK"
"26040406040101RL","A","2026-04-16T07:15:15.527Z","IN PROGRESS","OK","OK"
"26041006310101RL","A","2026-04-16T07:07:48.980Z","IN PROGRESS","-","IN PROGRESS"
"26040606280101RL","A","2026-04-16T07:00:05.630Z","IN PROGRESS","OK","OK"
"ABC123","A","2026-04-16T06:50:00.000Z","IN PROGRESS","-","IN PROGRESS"
"26040406070101RL","A","2026-04-16T06:46:01.960Z","IN PROGRESS","OK","OK"
"26040506290101RL","A","2026-04-16T06:33:34.730Z","IN PROGRESS","-","IN PROGRESS"
"26040406090101RL","C","2026-04-16T03:36:19.660Z","IN PROGRESS","OK","OK"
"26040406220101RL","C","2026-04-16T03:23:24.760Z","IN PROGRESS","OK","OK"
"26040605930101RL","C","2026-04-16T02:44:38.790Z","IN PROGRESS","OK","OK"
"26040406180101RL","C","2026-04-16T02:30:32.633Z","IN PROGRESS","-","IN PROGRESS"
"26040405960101RL","C","2026-04-16T02:22:36.683Z","IN PROGRESS","-","IN PROGRESS"
"26040406140101RL","C","2026-04-16T02:10:22.130Z","IN PROGRESS","OK","OK"
"26040406020101RL","C","2026-04-16T01:45:00.680Z","IN PROGRESS","-","IN PROGRESS"
"26040406130101RL","C","2026-04-16T01:15:57.910Z","IN PROGRESS","-","IN PROGRESS"
"26040106230101RL","C","2026-04-16T01:06:51.010Z","IN PROGRESS","OK","OK"
"26040606260101RL","C","2026-04-16T00:59:30.833Z","IN PROGRESS","-","IN PROGRESS"
"26041329480101RR","C","2026-04-16T00:50:50.933Z","IN PROGRESS","-","IN PROGRESS"
"26041329450101RR","C","2026-04-16T00:43:13.433Z","IN PROGRESS","-","IN PROGRESS"
"26041329400101RR","C","2026-04-16T00:36:19.810Z","IN PROGRESS","-","IN PROGRESS"
"26041329440101RR","C","2026-04-16T00:29:31.360Z","IN PROGRESS","-","IN PROGRESS"
"26040605810101RL","C","2026-04-15T22:33:45.537Z","IN PROGRESS","OK","OK"
"26040606270101RL","C","2026-04-15T22:25:13.437Z","IN PROGRESS","-","IN PROGRESS"
"26040406110101RL","C","2026-04-15T22:04:00.610Z","IN PROGRESS","OK","OK"
"26040406100101RL","B","2026-04-15T21:47:49.583Z","IN PROGRESS","-","IN PROGRESS"
"26040605900101RL","B","2026-04-15T21:37:19.207Z","IN PROGRESS","-","IN PROGRESS"
"26040605730101RL","B","2026-04-15T21:25:19.057Z","IN PROGRESS","-","IN PROGRESS"
"26040605620101RL","B","2026-04-15T21:11:17.787Z","IN PROGRESS","-","IN PROGRESS"
"26040605700101RL","B","2026-04-15T20:17:57.530Z","IN PROGRESS","-","IN PROGRESS"
"26040605780101RL","B","2026-04-15T18:13:05.787Z","IN PROGRESS","-","IN PROGRESS"
"26040605760101RL","B","2026-04-15T15:58:48.457Z","IN PROGRESS","-","IN PROGRESS"
"26040605890101RL","B","2026-04-15T15:50:16.810Z","IN PROGRESS","-","IN PROGRESS"
"26040605860101RL","B","2026-04-15T15:32:12.387Z","IN PROGRESS","OK","OK"
"26040605660101RL","B","2026-04-15T15:24:06.080Z","IN PROGRESS","-","IN PROGRESS"
"26040605680101RL","B","2026-04-15T15:12:01.433Z","IN PROGRESS","-","IN PROGRESS"
"26040605690101RL","B","2026-04-15T15:00:11.710Z","IN PROGRESS","OK","OK"
"26040605840101RL","B","2026-04-15T14:51:53.033Z","IN PROGRESS","OK","OK"
"26040605740101RL","B","2026-04-15T14:42:18.980Z","IN PROGRESS","OK","OK"
"26040605720101RL","B","2026-04-15T14:34:54.757Z","IN PROGRESS","OK","OK"
"26040605880101RL","B","2026-04-15T14:23:13.060Z","IN PROGRESS","OK","OK"
"26040605650101RL","B","2026-04-15T14:14:46.130Z","IN PROGRESS","OK","OK"
"26040605750101RL","A","2026-04-15T13:06:02.110Z","NG","OK","OK"
"26040605770101RL","A","2026-04-15T12:57:58.130Z","IN PROGRESS","OK","OK"
"26040605640101RL","A","2026-04-15T12:50:29.630Z","IN PROGRESS","-","IN PROGRESS"
"26040105440101RL","A","2026-04-15T09:40:25.803Z","IN PROGRESS","-","IN PROGRESS"
"26040605600101RL","A","2026-04-15T09:11:18.343Z","IN PROGRESS","-","IN PROGRESS"
"26040105420101RL","A","2026-04-15T09:02:32.890Z","IN PROGRESS","-","IN PROGRESS"
"26040105450101RL","A","2026-04-15T08:50:45.940Z","IN PROGRESS","-","IN PROGRESS"
"26040105370101RL","A","2026-04-15T08:37:07.387Z","IN PROGRESS","-","IN PROGRESS"
"26040105460101RL","A","2026-04-15T08:29:42.187Z","IN PROGRESS","OK","OK"
"26040105480101RL","A","2026-04-15T08:22:12.640Z","IN PROGRESS","OK","OK"
"26040105410101RL","A","2026-04-15T08:07:29.663Z","IN PROGRESS","-","IN PROGRESS"
"26040605560101RL","A","2026-04-15T07:59:54.790Z","IN PROGRESS","-","IN PROGRESS"
"26040105380101RL","A","2026-04-15T07:52:12.640Z","IN PROGRESS","OK","OK"
"26040105430101RL","A","2026-04-15T07:44:30.940Z","IN PROGRESS","-","IN PROGRESS"
"26040605570101RL","A","2026-04-15T07:37:14.440Z","IN PROGRESS","-","IN PROGRESS"
"26040105470101RL","A","2026-04-15T07:29:12.187Z","IN PROGRESS","OK","OK"
"26040605490101RL","A","2026-04-15T07:18:48.340Z","IN PROGRESS","-","IN PROGRESS"
"26040105360101RL","A","2026-04-15T07:10:59.290Z","IN PROGRESS","OK","OK"
"26040605590101RL","A","2026-04-15T06:51:30.417Z","IN PROGRESS","OK","OK"
"26040105390101RL","A","2026-04-15T06:43:02.210Z","IN PROGRESS","-","IN PROGRESS"
"26040605580101RL","A","2026-04-15T06:35:21.417Z","IN PROGRESS","-","IN PROGRESS"
"26040605710101RL","C","2026-04-15T03:30:45.707Z","IN PROGRESS","-","IN PROGRESS"
"26040605670101RL","C","2026-04-15T03:30:19.990Z","IN PROGRESS","-","IN PROGRESS"
"26040605630101RL","C","2026-04-15T03:30:04.007Z","IN PROGRESS","-","IN PROGRESS"
"26040104940101RL","C","2026-04-15T02:13:01.987Z","NG","-","IN PROGRESS"
"26040105150101RL","C","2026-04-15T02:03:14.440Z","IN PROGRESS","-","IN PROGRESS"
"26040105170101RL","C","2026-04-15T01:55:37.163Z","IN PROGRESS","-","IN PROGRESS"
"26040104960101RL","C","2026-04-15T01:46:59.817Z","IN PROGRESS","OK","OK"
"26040105100101RL","C","2026-04-15T01:39:27.870Z","IN PROGRESS","-","IN PROGRESS"
"26040105090101RL","C","2026-04-15T01:30:11.737Z","IN PROGRESS","OK","OK"
"26040105160101RL","C","2026-04-15T01:19:29.743Z","IN PROGRESS","-","IN PROGRESS"
"26040105000101RL","C","2026-04-15T01:09:49.390Z","IN PROGRESS","OK","OK"
"26030203950101RL","C","2026-04-15T01:02:03.563Z","IN PROGRESS","-","IN PROGRESS"
"26030204130101RL","C","2026-04-15T00:54:14.283Z","IN PROGRESS","OK","OK"
"26030204040101RL","C","2026-04-15T00:44:49.460Z","IN PROGRESS","OK","OK"
"26030204030101RL","C","2026-04-15T00:37:16.613Z","IN PROGRESS","OK","OK"
"26030203940101RL","C","2026-04-15T00:29:22.160Z","IN PROGRESS","OK","OK"
"26030204170101RL","C","2026-04-15T00:21:59.517Z","IN PROGRESS","OK","OK"
"26030204070101RL","C","2026-04-15T00:05:10.990Z","IN PROGRESS","OK","OK"
"26030203930101RL","C","2026-04-14T23:57:55.013Z","IN PROGRESS","OK","OK"
"26030204110101RL","C","2026-04-14T23:49:49.767Z","IN PROGRESS","OK","OK"
"26030204190101RL","C","2026-04-14T23:42:15.263Z","IN PROGRESS","-","IN PROGRESS"
"26030204100101RL","C","2026-04-14T23:34:45.637Z","IN PROGRESS","OK","OK"
"26030204160101RL","C","2026-04-14T23:20:47.513Z","IN PROGRESS","OK","OK"
"26030203960101RL","C","2026-04-14T23:12:26.440Z","IN PROGRESS","OK","OK"
"26040103780101RL","C","2026-04-14T23:05:05.810Z","IN PROGRESS","OK","OK"
"26040103390101RL","C","2026-04-14T22:56:48.567Z","IN PROGRESS","OK","OK"
"26040203850101RL","C","2026-04-14T22:49:17.960Z","IN PROGRESS","-","IN PROGRESS"
"26040203870101RL","C","2026-04-14T22:40:48.337Z","IN PROGRESS","OK","OK"
"26040605500101RL","C","2026-04-14T22:40:44.130Z","IN PROGRESS","-","IN PROGRESS"
"26040105400101RL","C","2026-04-14T22:39:06.937Z","IN PROGRESS","-","IN PROGRESS"
"26040603980101RL","C","2026-04-14T22:07:53.217Z","IN PROGRESS","OK","OK"
"26040203890101RL","B","2026-04-14T21:56:44.517Z","IN PROGRESS","OK","OK"
"26040203910101RL","B","2026-04-14T21:49:10.987Z","IN PROGRESS","OK","OK"
"26040103790101RL","B","2026-04-14T20:29:41.887Z","IN PROGRESS","OK","OK"
"26040103800101RL","B","2026-04-14T20:22:23.137Z","IN PROGRESS","-","IN PROGRESS"
"26030204050101RL","B","2026-04-14T20:14:36.340Z","IN PROGRESS","OK","OK"
"26040103710101RL","B","2026-04-14T20:04:40.613Z","IN PROGRESS","OK","OK"
"26040103720101RL","B","2026-04-14T19:57:06.040Z","IN PROGRESS","-","IN PROGRESS"
"26030204120101RL","B","2026-04-14T19:45:45.340Z","IN PROGRESS","OK","OK"
"26040203940101RL","B","2026-04-14T19:37:54.337Z","IN PROGRESS","-","IN PROGRESS"
"26030204200101RL","B","2026-04-14T19:30:04.090Z","IN PROGRESS","OK","OK"
"26040105030101RL","B","2026-04-14T19:21:30.340Z","IN PROGRESS","OK","OK"
"26040105020101RL","B","2026-04-14T19:13:41.960Z","IN PROGRESS","-","IN PROGRESS"
"26040205120101RL","B","2026-04-14T19:03:18.490Z","IN PROGRESS","-","IN PROGRESS"
"26040104950101RL","B","2026-04-14T18:55:41.287Z","IN PROGRESS","OK","OK"
"26040104990101RL","B","2026-04-14T18:48:16.533Z","IN PROGRESS","OK","OK"
"26040104920101RL","B","2026-04-14T18:40:36.487Z","IN PROGRESS","OK","OK"
"26040105010101RL","B","2026-04-14T18:33:20.957Z","IN PROGRESS","-","IN PROGRESS"
"26040104980101RL","B","2026-04-14T18:26:05.433Z","IN PROGRESS","OK","OK"
"26040105080101RL","B","2026-04-14T18:18:37.607Z","IN PROGRESS","-","IN PROGRESS"
"26040205110101RL","B","2026-04-14T18:11:04.833Z","IN PROGRESS","-","IN PROGRESS"
"26040204600101RL","B","2026-04-14T17:21:30.107Z","IN PROGRESS","OK","OK"
"26030204080101RL","B","2026-04-14T17:02:00.560Z","IN PROGRESS","-","IN PROGRESS"
"26040902170101RL","B","2026-04-14T15:37:10.007Z","IN PROGRESS","-","IN PROGRESS"
"26030203920101RL","B","2026-04-14T15:19:22.010Z","IN PROGRESS","-","IN PROGRESS"
"26032704790101RL","B","2026-04-14T15:12:39.560Z","IN PROGRESS","-","IN PROGRESS"
"26032704830101RL","B","2026-04-14T15:05:19.233Z","IN PROGRESS","-","IN PROGRESS"
"26032704440101RL","B","2026-04-14T14:58:04.233Z","IN PROGRESS","-","IN PROGRESS"
"26032704480101RL","B","2026-04-14T14:37:38.963Z","IN PROGRESS","OK","OK"
"26032704490101RL","B","2026-04-14T14:16:41.663Z","IN PROGRESS","OK","OK"
"26032704690101RL","A","2026-04-14T13:36:45.640Z","IN PROGRESS","-","IN PROGRESS"
"26032704670101RL","A","2026-04-14T13:14:25.617Z","IN PROGRESS","-","IN PROGRESS"
"26032704410101RL","A","2026-04-14T13:01:43.457Z","IN PROGRESS","-","IN PROGRESS"
"26040203830101RL","A","2026-04-14T12:49:36.557Z","IN PROGRESS","-","IN PROGRESS"
"26030204210101RL","A","2026-04-14T12:26:02.360Z","IN PROGRESS","-","IN PROGRESS"
"26030204010101RL","A","2026-04-14T11:31:21.557Z","IN PROGRESS","-","IN PROGRESS"
"26030203970101RL","A","2026-04-14T09:23:52.387Z","IN PROGRESS","-","IN PROGRESS"
"26032704720101RL","A","2026-04-14T08:51:39.040Z","IN PROGRESS","-","IN PROGRESS"
"26032704420101RL","A","2026-04-14T08:31:05.437Z","IN PROGRESS","-","IN PROGRESS"
"26032704800101RL","A","2026-04-14T08:16:14.063Z","IN PROGRESS","-","IN PROGRESS"
"26032704570101RL","A","2026-04-14T07:53:11.290Z","IN PROGRESS","-","IN PROGRESS"
"26032704640101RL","A","2026-04-14T07:36:05.883Z","IN PROGRESS","-","IN PROGRESS"
"26032704500101RL","A","2026-04-14T07:25:56.887Z","IN PROGRESS","-","IN PROGRESS"
"26040603970101RL","A","2026-04-14T07:06:28.617Z","IN PROGRESS","-","IN PROGRESS"
"26032704660101RL","A","2026-04-14T06:55:24.190Z","IN PROGRESS","-","IN PROGRESS"
"26032704780101RL","A","2026-04-14T06:45:01.683Z","IN PROGRESS","-","IN PROGRESS"
"26040603960101RL","A","2026-04-14T06:34:47.133Z","IN PROGRESS","-","IN PROGRESS"
"26040104290101RL","C","2026-04-14T03:50:25.390Z","IN PROGRESS","-","IN PROGRESS"
"26040203780101RL","C","2026-04-14T03:42:07.537Z","IN PROGRESS","-","IN PROGRESS"
"26040203800101RL","C","2026-04-14T03:31:28.083Z","IN PROGRESS","-","IN PROGRESS"
"26040404320101RL","C","2026-04-14T03:18:55.690Z","IN PROGRESS","OK","OK"
"26040404310101RL","C","2026-04-14T03:10:33.563Z","IN PROGRESS","-","IN PROGRESS"
"26040105070101RL","C","2026-04-14T03:07:39.637Z","IN PROGRESS","-","IN PROGRESS"
